session_id	ts	subagent_type	team_name	name	description	prompt_head
63285119-154e-42ab-9555-7a42471b0309	2026-05-07T13:17:39.888Z	general-purpose	schmidhuber-impl	temporal-order-3bit-builder	Wave 6: temporal-order-3bit	You are `temporal-order-3bit-builder` on `schmidhuber-impl`. Implement **temporal-order-3bit** per SPEC issue #1.  ## Context - SPEC: https://github.com/cybertronai/schmidhuber-problems/issues/1 — read FIRST. - Reference paper: Hochreiter & Schmidhuber 1997, *Long Short-Term Memory* (NC 9(8)), Exper
63285119-154e-42ab-9555-7a42471b0309	2026-05-07T13:53:02.568Z	Explore			Audit wave-6 6 LSTM stubs	Audit all 6 wave-6 implementations of cybertronai/schmidhuber-problems. Each lives in its own worktree on a LOCAL-ONLY branch (`wave-6-local/<slug>`). All 6 are LSTM canonical battery (Hochreiter & Schmidhuber 1997 NC 9(8)).  ## Stubs and worktrees  | Stub | Worktree (inside `<base>/wave-6/<slug>/<s
63285119-154e-42ab-9555-7a42471b0309	2026-05-07T14:34:45.731Z	general-purpose	schmidhuber-impl	temporal-order-4bit-builder	Wave 7: temporal-order-4bit	You are `temporal-order-4bit-builder` on `schmidhuber-impl`. Implement **temporal-order-4bit** per SPEC issue #1.  ## Context - SPEC: https://github.com/cybertronai/schmidhuber-problems/issues/1 — read FIRST. - Reference paper: Hochreiter & Schmidhuber 1997 (NC 9(8)) Experiment 6b — 8-class, three e
63285119-154e-42ab-9555-7a42471b0309	2026-05-07T14:34:53.684Z	general-purpose	schmidhuber-impl	continual-embedded-reber-builder	Wave 7: continual-embedded-reber	You are `continual-embedded-reber-builder` on `schmidhuber-impl`. Implement **continual-embedded-reber** per SPEC issue #1.  ## Context - SPEC: https://github.com/cybertronai/schmidhuber-problems/issues/1 — read FIRST. - Reference paper: Gers, Schmidhuber, Cummins 2000, *Learning to forget* (NC 12(1
63285119-154e-42ab-9555-7a42471b0309	2026-05-07T14:35:00.821Z	general-purpose	schmidhuber-impl	anbn-anbncn-builder	Wave 7: anbn-anbncn	You are `anbn-anbncn-builder` on `schmidhuber-impl`. Implement **anbn-anbncn** per SPEC issue #1.  ## Context - SPEC: https://github.com/cybertronai/schmidhuber-problems/issues/1 — read FIRST. - Reference paper: Gers & Schmidhuber 2001, *LSTM Recurrent Networks Learn Simple Context-Free and Context-
63285119-154e-42ab-9555-7a42471b0309	2026-05-07T14:35:08.547Z	general-purpose	schmidhuber-impl	timing-counting-spikes-builder	Wave 7: timing-counting-spikes	You are `timing-counting-spikes-builder` on `schmidhuber-impl`. Implement **timing-counting-spikes** per SPEC issue #1.  ## Context - SPEC: https://github.com/cybertronai/schmidhuber-problems/issues/1 — read FIRST. - Reference paper: Gers, Schraudolph, Schmidhuber 2002, *Learning Precise Timing with
63285119-154e-42ab-9555-7a42471b0309	2026-05-07T14:35:17.248Z	general-purpose	schmidhuber-impl	blues-improvisation-builder	Wave 7: blues-improvisation	You are `blues-improvisation-builder` on `schmidhuber-impl`. Implement **blues-improvisation** per SPEC issue #1.  ## Context - SPEC: https://github.com/cybertronai/schmidhuber-problems/issues/1 — read FIRST. - Reference paper: Eck & Schmidhuber 2002, *A First Look at Music Composition Using LSTM Re
63285119-154e-42ab-9555-7a42471b0309	2026-05-07T15:17:29.533Z	Explore			Audit wave-7 5 stubs	Audit all 5 wave-7 implementations of cybertronai/schmidhuber-problems. Each lives in its own worktree on a LOCAL-ONLY branch (`wave-7-local/<slug>`). Wave 7 is LSTM follow-ups (2000-2002 era).  ## Stubs and worktrees  | Stub | Worktree (inside `<base>/wave-7/<slug>/<slug>/`) | |---|---| | temporal-
63285119-154e-42ab-9555-7a42471b0309	2026-05-07T15:29:33.223Z	general-purpose	schmidhuber-impl	pipe-symbolic-regression-builder	Wave 8: pipe-symbolic-regression	You are `pipe-symbolic-regression-builder` on `schmidhuber-impl`. Implement **pipe-symbolic-regression** per SPEC issue #1.  ## Context - SPEC: https://github.com/cybertronai/schmidhuber-problems/issues/1 — read FIRST. - Reference paper: Salustowicz & Schmidhuber 1997, *Probabilistic Incremental Pro
63285119-154e-42ab-9555-7a42471b0309	2026-05-07T15:29:40.135Z	general-purpose	schmidhuber-impl	pipe-6-bit-parity-builder	Wave 8: pipe-6-bit-parity	You are `pipe-6-bit-parity-builder` on `schmidhuber-impl`. Implement **pipe-6-bit-parity** per SPEC issue #1.  ## Context - SPEC: https://github.com/cybertronai/schmidhuber-problems/issues/1 — read FIRST. - Reference paper: Salustowicz & Schmidhuber 1997, *Probabilistic Incremental Program Evolution
63285119-154e-42ab-9555-7a42471b0309	2026-05-07T15:29:49.201Z	general-purpose	schmidhuber-impl	evolino-sines-mackey-glass-builder	Wave 8: evolino-sines-mackey-glass	You are `evolino-sines-mackey-glass-builder` on `schmidhuber-impl`. Implement **evolino-sines-mackey-glass** per SPEC issue #1.  ## Context - SPEC: https://github.com/cybertronai/schmidhuber-problems/issues/1 — read FIRST. - Reference paper: Schmidhuber, Wierstra, Gomez 2005/2007, *Evolino: Hybrid N
63285119-154e-42ab-9555-7a42471b0309	2026-05-07T15:30:03.599Z	general-purpose	schmidhuber-impl	double-pole-no-velocity-builder	Wave 8: double-pole-no-velocity	You are `double-pole-no-velocity-builder` on `schmidhuber-impl`. Implement **double-pole-no-velocity** per SPEC issue #1.  ## Context - SPEC: https://github.com/cybertronai/schmidhuber-problems/issues/1 — read FIRST. - Reference paper: Gomez & Schmidhuber 2005, *Co-evolving recurrent neurons learn d
63285119-154e-42ab-9555-7a42471b0309	2026-05-07T16:54:46.185Z	Explore			Audit wave-8 4 stubs	Audit all 4 wave-8 implementations of cybertronai/schmidhuber-problems. Each lives in its own worktree on a LOCAL-ONLY branch (`wave-8-local/<slug>`). Wave 8 is evolutionary methods (no gradient descent).  ## Stubs and worktrees  | Stub | Worktree (inside `<base>/wave-8/<slug>/<slug>/`) | |---|---| 
63285119-154e-42ab-9555-7a42471b0309	2026-05-07T16:58:19.924Z	general-purpose	schmidhuber-impl	mnist-deep-mlp-builder	Wave 9: mnist-deep-mlp	You are `mnist-deep-mlp-builder` on `schmidhuber-impl`. Implement **mnist-deep-mlp** per SPEC issue #1.  ## Context - SPEC: https://github.com/cybertronai/schmidhuber-problems/issues/1 — read FIRST. - Reference paper: Cireşan, Meier, Gambardella, Schmidhuber 2010, *Deep, big, simple neural nets exce
63285119-154e-42ab-9555-7a42471b0309	2026-05-07T16:58:27.317Z	general-purpose	schmidhuber-impl	mcdnn-image-bench-builder	Wave 9: mcdnn-image-bench	You are `mcdnn-image-bench-builder` on `schmidhuber-impl`. Implement **mcdnn-image-bench** per SPEC issue #1.  ## Context - SPEC: https://github.com/cybertronai/schmidhuber-problems/issues/1 — read FIRST. - Reference paper: Cireşan, Meier, Schmidhuber 2012, *Multi-column deep neural networks for ima
63285119-154e-42ab-9555-7a42471b0309	2026-05-07T16:58:34.457Z	general-purpose	schmidhuber-impl	compete-to-compute-builder	Wave 9: compete-to-compute	You are `compete-to-compute-builder` on `schmidhuber-impl`. Implement **compete-to-compute** per SPEC issue #1.  ## Context - SPEC: https://github.com/cybertronai/schmidhuber-problems/issues/1 — read FIRST. - Reference paper: Srivastava, Masci, Kazerounian, Gomez, Schmidhuber 2013, *Compete to Compu
63285119-154e-42ab-9555-7a42471b0309	2026-05-07T16:58:41.547Z	general-purpose	schmidhuber-impl	highway-networks-builder	Wave 9: highway-networks	You are `highway-networks-builder` on `schmidhuber-impl`. Implement **highway-networks** per SPEC issue #1.  ## Context - SPEC: https://github.com/cybertronai/schmidhuber-problems/issues/1 — read FIRST. - Reference paper: Srivastava, Greff, Schmidhuber 2015, *Training Very Deep Networks* (NIPS). Hig
63285119-154e-42ab-9555-7a42471b0309	2026-05-07T17:19:01.054Z	Explore			Audit wave-9 4 stubs	Audit all 4 wave-9 implementations of cybertronai/schmidhuber-problems. Each lives in its own worktree on a LOCAL-ONLY branch (`wave-9-local/<slug>`). Wave 9 is deep MLPs at scale.  ## Stubs and worktrees  | Stub | Worktree | |---|---| | mnist-deep-mlp | `/Users/yadkonrad/dev_dev/year26/may26/schmid
63285119-154e-42ab-9555-7a42471b0309	2026-05-07T17:23:08.529Z	general-purpose	schmidhuber-impl	neural-em-shapes-builder	Wave 10: neural-em-shapes	You are `neural-em-shapes-builder` on `schmidhuber-impl`. Implement **neural-em-shapes** per SPEC issue #1.  ## Context - SPEC: https://github.com/cybertronai/schmidhuber-problems/issues/1 — read FIRST. - Reference paper: Greff, van Steenkiste, Schmidhuber 2017, *Neural Expectation Maximization* (NI
63285119-154e-42ab-9555-7a42471b0309	2026-05-07T17:23:16.802Z	general-purpose	schmidhuber-impl	relational-nem-bouncing-balls-builder	Wave 10: relational-nem-bouncing-balls	You are `relational-nem-bouncing-balls-builder` on `schmidhuber-impl`. Implement **relational-nem-bouncing-balls** per SPEC issue #1.  ## Context - SPEC: https://github.com/cybertronai/schmidhuber-problems/issues/1 — read FIRST. - Reference paper: van Steenkiste, Chang, Greff, Schmidhuber 2018, *Rel
63285119-154e-42ab-9555-7a42471b0309	2026-05-07T17:23:25.879Z	general-purpose	schmidhuber-impl	linear-transformers-fwp-builder	Wave 10: linear-transformers-fwp	You are `linear-transformers-fwp-builder` on `schmidhuber-impl`. Implement **linear-transformers-fwp** per SPEC issue #1.  ## Context - SPEC: https://github.com/cybertronai/schmidhuber-problems/issues/1 — read FIRST. - Reference paper: Schlag, Irie, Schmidhuber 2021, *Linear Transformers Are Secretl
63285119-154e-42ab-9555-7a42471b0309	2026-05-07T17:23:31.769Z	general-purpose	schmidhuber-impl	neural-data-router-builder	Wave 10: neural-data-router	You are `neural-data-router-builder` on `schmidhuber-impl`. Implement **neural-data-router** per SPEC issue #1.  ## Context - SPEC: https://github.com/cybertronai/schmidhuber-problems/issues/1 — read FIRST. - Reference paper: Csordás, Irie, Schmidhuber 2022, *The Neural Data Router* (ICLR). Copy gat
63285119-154e-42ab-9555-7a42471b0309	2026-05-07T17:23:40.014Z	general-purpose	schmidhuber-impl	upside-down-rl-builder	Wave 10: upside-down-rl	You are `upside-down-rl-builder` on `schmidhuber-impl`. Implement **upside-down-rl** per SPEC issue #1.  ## Context - SPEC: https://github.com/cybertronai/schmidhuber-problems/issues/1 — read FIRST. - Reference paper: Schmidhuber et al. 2019, *Reinforcement Learning Upside Down* (arXiv). RL as super
63285119-154e-42ab-9555-7a42471b0309	2026-05-07T18:04:56.192Z	Explore			Audit wave-10 final 5 stubs	Audit all 5 wave-10 implementations of cybertronai/schmidhuber-problems. **This is the FINAL v1 wave** — wave 10, object-centric + attention + modern. Each lives in its own worktree on a LOCAL-ONLY branch (`wave-10-local/<slug>`).  ## Stubs and worktrees  | Stub | Worktree (inside `<base>/wave-10/<s
